持股人,公司,分数
93,53,-3.1821845
97,22,-3.1821895
31,31,-4.7732973
136,15,-6.457614
18,25,-3.1821914
52,19,-2.8794708
5,0,-3.5880532
1,59,-1.8580494
118,15,-6.457614
55,84,-3.1821895
52,52,-29.678371
73,12,-3.5667858
73,40,-6.64117
76,72,2.2938097
136,53,-3.1821868
165,52,-29.678368
32,6,-3.2746506
132,42,-4.680983
161,41,-3.240297
10,17,-4.5199003
13,77,0.16348574
105,54,-46.746197
26,85,-1.9399114
68,64,-1.6859785
127,66,-2.0752208
85,13,-5.241817
81,72,2.2938066
85,41,-3.2402952
10,83,-1.3505524
106,1,-2.3385477
106,29,-2.0838337
26,57,-3.1821847
40,38,-53.410892
37,6,-3.2746506
114,14,-15.187475
145,22,-3.1821914
148,54,-46.74617
61,26,-3.1821938
148,82,-3.0124686
106,34,-42.03546
148,87,-3.1821876
65,0,-3.5880492
61,59,-1.8580588
128,41,-3.2402968
85,79,-3.8743021
153,71,-7.9478555
157,12,-3.5667858
101,53,-3.1821887
157,40,-6.641172
41,13,-5.241819
19,24,-3.1821847
22,84,-3.1821873
56,78,-2.4012787
114,61,-11.964682
122,46,-5.0371084
122,74,-58.243824
77,71,-7.947857
36,37,-6.092446
33,5,-3.9930787
94,20,-3.1821868
94,48,-34.59207
133,41,-3.240297
136,73,-2.8227296
137,10,-78.55549
102,33,-18.90668
165,72,2.293809
49,45,-4.811957
2,54,-46.74618
57,58,-1.5599989
74,7,-0.7467702
7,38,-53.410892
137,48,-34.592075
166,47,-3.8814697
15,23,-3.9590507
110,60,-1.4212627
11,12,-3.5667858
7,71,-7.9478555
45,6,-3.2746506
65,85,-1.9399115
58,14,-15.187465
65,90,0.058073297
66,27,-4.471131
129,40,-6.641168
86,78,-2.4012806
90,47,-3.881468
158,39,-3.1821852
161,71,-7.9478536
45,44,-3.4851067
42,12,-3.5667837
45,72,2.2938097
27,24,-3.1821868
23,83,-1.3505486
142,48,-34.59207
38,1,-2.3385477
145,80,-2.5611286
146,17,-4.5199003
45,77,0.16348253
66,65,-6.927646
158,77,0.16348764
154,66,-2.0752208
98,79,-3.874304
95,47,-3.881468
138,9,-56.206448
24,30,-2.00216
119,67,-3.1821892
20,19,-2.879471
54,13,-5.241819
111,87,-3.1821892
123,41,-3.240297
120,9,-56.206448
75,6,-3.2746525
78,66,-2.075219
130,62,5.0220127
138,47,-3.8814697
95,85,-1.9399114
99,54,-46.746193
142,16,-6.047927
30,31,-4.773299
34,0,-3.588051
